,schedule_season,schedule_month,schedule_week,Total_Score,over_under_line,Week_Day,Dome_Game,Over_Total_Score_Line,Number_States
294,2013,9,3,58.0,40.5,6,1,1,1
295,2013,9,3,26.0,45.0,6,0,0,1
296,2013,9,3,38.0,49.5,6,1,0,1
297,2013,9,3,47.0,41.0,6,0,1,1
298,2013,9,3,63.0,41.0,6,0,1,1
299,2013,9,3,34.0,47.0,6,0,0,1
300,2013,9,3,62.0,39.5,6,0,1,1
301,2013,9,3,37.0,43.5,6,0,0,1
302,2013,9,3,47.0,49.5,6,0,0,1
303,2013,9,3,58.0,50.0,0,0,1,1
304,2013,9,4,46.0,43.5,3,1,1,1
305,2013,9,4,53.0,50.0,6,1,1,1
306,2013,9,4,43.0,45.0,6,0,0,1
307,2013,9,4,23.0,42.5,6,0,0,1
308,2013,9,4,72.0,59.0,6,0,1,1
309,2013,9,4,72.0,49.5,6,1,1,1
310,2013,9,4,43.0,41.0,6,1,1,1
311,2013,9,4,40.0,42.5,6,0,0,1
312,2013,9,4,38.0,44.0,6,0,0,1
313,2013,9,4,61.0,41.5,6,0,1,1
314,2013,9,4,38.0,46.0,6,0,0,1
315,2013,9,4,51.0,48.0,6,0,1,1
316,2013,9,4,23.0,40.0,6,0,0,1
317,2013,9,4,51.0,40.5,6,0,1,1
318,2013,9,4,55.0,49.0,0,1,1,1
319,2013,10,5,61.0,41.0,3,0,1,1
320,2013,10,5,28.0,42.5,6,1,0,1
321,2013,10,5,44.0,51.5,6,0,0,1
322,2013,10,5,19.0,45.5,6,0,0,1
323,2013,10,5,99.0,57.5,6,1,1,1
324,2013,10,5,31.0,55.0,6,0,0,1
325,2013,10,5,62.0,44.0,6,1,1,1
326,2013,10,5,49.0,43.0,6,0,1,1
327,2013,10,5,57.0,54.0,6,0,1,1
328,2013,10,5,44.0,47.0,6,0,0,1
329,2013,10,5,37.0,44.0,6,0,0,1
330,2013,10,5,54.0,41.0,6,1,1,1
331,2013,10,5,43.0,38.5,6,0,1,1
332,2013,10,5,58.0,45.0,0,1,1,1
333,2013,10,6,48.0,48.0,3,0,0,1
334,2013,10,6,36.0,48.0,6,0,0,1
335,2013,10,6,51.0,41.0,6,0,1,1
336,2013,10,6,48.0,43.5,6,0,1,1
337,2013,10,6,47.0,51.5,6,1,0,1
